,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
2265,2266,225.0,6.0,USA,20000000.0,8000000.0,6484,100.0,27.0,1000,126.0,940.0,208.0,202.0,1934,6.6,Good
3557,3558,107.0,2.0,USA,,,3157,33.0,6.0,337,0.0,804.0,167.0,146.0,1285,7.2,Good
5015,5016,90.0,2.0,USA,25000.0,,57,2.0,,33,0.0,313.0,25.0,9.0,366,4.8,Fair
101,102,132.0,3.0,USA,160000000.0,146405371.0,518537,698.0,500.0,54000,905.0,34000.0,13000.0,1000.0,50983,7.8,Good
4429,4430,90.0,7.0,USA,1500000.0,92362.0,444,5.0,14.0,68,7.0,890.0,597.0,424.0,3138,4.3,Fair
1840,1841,115.0,5.0,USA,26000000.0,61490000.0,62037,148.0,49.0,0,541.0,8000.0,1000.0,442.0,10493,6.6,Good
27,28,131.0,0.0,USA,209000000.0,65173160.0,202382,751.0,377.0,44000,532.0,14000.0,10000.0,627.0,26679,5.9,Fair
1747,1748,167.0,0.0,USA,28000000.0,161029270.0,119928,331.0,349.0,76000,473.0,559.0,427.0,303.0,2702,7.9,Good
583,584,116.0,2.0,USA,70000000.0,152149590.0,74274,255.0,103.0,0,0.0,8000.0,3000.0,995.0,12790,5.5,Fair
3067,3068,104.0,0.0,USA,11000000.0,352786.0,11132,86.0,78.0,0,238.0,60.0,35.0,22.0,150,6.8,Good
2805,2806,98.0,3.0,France,14000000.0,4291965.0,9334,59.0,108.0,447,176.0,543.0,113.0,15.0,678,6.7,Good
3750,3751,90.0,0.0,USA,8000000.0,,15345,87.0,44.0,0,152.0,21000.0,982.0,826.0,23714,6.2,Good
4005,4006,106.0,0.0,Mexico,3500000.0,886410.0,1024,494.0,39.0,140,22.0,174.0,16.0,10.0,222,6.8,Good
244,245,101.0,0.0,USA,125000000.0,190871240.0,167085,491.0,348.0,62000,473.0,833.0,809.0,429.0,2690,5.9,Fair
4178,4179,97.0,2.0,Australia,2500000.0,,6429,25.0,13.0,10000,65.0,65.0,2.0,0.0,67,7.6,Good
2687,2688,121.0,4.0,USA,15000000.0,12549485.0,4603,91.0,81.0,489,16.0,907.0,585.0,526.0,3633,6.2,Good
